Author Salesforce Affiliation number,Type of Publication,Number,Affiliate Author (First Name),Affiliate Author (Middle),Affiliate Author (Last Name),All Authors,Publication Title,Journal or Publisher title,Forthcoming,Volume number,Issue number,Page numbers,Quarter/Month,Working paper number (if applicable),Book title (if applicable),Year,Link,Note,Note2,Unsure/question,RB reviewed?,Citation,Topic Tag,Region Tag,Countries,Program Tag,Abstract,Sub-tags,When collected?,Column1,Page_Header,Effective date,FA in All Authors,All_Authors_CC,Citation_Final
,Media Article,69,Michael,,Reich,Michael R Reich; Yarlini Balarajan,Political Economy Analysis for Nutrition Policy,Lancet Global Health,,,,,November,,,2014,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(14)70350-X/fulltext,,,,,,,,,,,,Summer - Maceo,,,11/01/2014,Yes,Reich Michael R and Yarlini Balarajan,"Reich Michael R and Yarlini Balarajan. 2014. Political Economy Analysis for Nutrition Policy. Lancet Global Health, nan."
,Journal Article,97,Jennifer,,Leaning,Hani Mowafi; Jennifer Leaning,Documenting deaths in the Syrian war,Lancet Global Health,,6.0,1,,January,,,2018,https://pubmed.ncbi.nlm.nih.gov/29226822/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,01/01/2018,Yes,Mowafi Hani and Jennifer Leaning,"Mowafi Hani and Jennifer Leaning. 2018. Documenting deaths in the Syrian war. Lancet Global Health 6.0, no. 1 (January): nan."
,Journal Article,109,Walter,,Willet,Alan Espinosa; Kenny Mendoza; Hugo Laviada-Molina; Jorge Aarón Rangel-Méndez; Fernanda Molina-Segui; Qi Sun; Deirdre K Tobias; Walter C Willett; Josiemer Mattei,Effects of non-nutritive sweeteners on the BMI of children and adolescents: a systematic review and meta-analysis of randomised controlled trials and prospective cohort studies. ,Lancet Global Health,,11.0,8,,March,,,2023,https://pubmed.ncbi.nlm.nih.gov/36866485/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,03/01/2023,Yes,"Espinosa Alan, Kenny Mendoza, Hugo Laviada-Molina, Jorge Aarón Rangel-Méndez, Fernanda Molina-Segui, Qi Sun, Deirdre K Tobias, Walter C Willett and Josiemer Mattei","Espinosa Alan, Kenny Mendoza, Hugo Laviada-Molina, Jorge Aarón Rangel-Méndez, Fernanda Molina-Segui, Qi Sun, Deirdre K Tobias, Walter C Willett and Josiemer Mattei. 2023. Effects of non-nutritive sweeteners on the BMI of children and adolescents: a systematic review and meta-analysis of randomised controlled trials and prospective cohort studies. . Lancet Global Health 11.0, no. 8 (March): nan."
,Journal Article,112,Winnie,,Yip,Muriel Levy; Yiping Chen; Robert Clarke; Derrick Bennett; Yunlong Tan; Yu Guo; Zheng Bian; Jun Lv; Canqing Yu; Liming Li; Winnie Yip; Zhengming Chen; Borislava Mihaylova; China Kadoorie Biobank Collaborative Group,Socioeconomic differences in health-care use and outcomes for stroke and ischaemic heart disease in China during 2009-16: a prospective cohort study of 0·5 million adults,Lancet Global Health,,8.0,4,591-602,April,,,2020,https://pubmed.ncbi.nlm.nih.gov/32199125/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,04/01/2020,Yes,"Levy Muriel, Yiping Chen, Robert Clarke, Derrick Bennett, Yunlong Tan, Yu Guo, Zheng Bian, Jun Lv, Canqing Yu, Liming Li, Winnie Yip, Zhengming Chen, Borislava Mihaylova and China Kadoorie Biobank Collaborative Group","Levy Muriel, Yiping Chen, Robert Clarke, Derrick Bennett, Yunlong Tan, Yu Guo, Zheng Bian, Jun Lv, Canqing Yu, Liming Li, Winnie Yip, Zhengming Chen, Borislava Mihaylova and China Kadoorie Biobank Collaborative Group. 2020. Socioeconomic differences in health-care use and outcomes for stroke and ischaemic heart disease in China during 2009-16: a prospective cohort study of 0·5 million adults. Lancet Global Health 8.0, no. 4 (April): 591-602."
,Journal Article,97,Jennifer,,Leaning,Sylvia Kehlenbrink; Lindsay M Jaacks; Boston Declaration signatories,Diabetes in humanitarian crises: the Boston Declaration,Lancet Diabetes and Endocrinology,,8.0,,590-592,August,,,2019,https://pubmed.ncbi.nlm.nih.gov/31178312/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,08/01/2019,No,"Kehlenbrink Sylvia, Lindsay M Jaacks and Boston Declaration signatories","Kehlenbrink Sylvia, Lindsay M Jaacks and Boston Declaration signatories. 2019. Diabetes in humanitarian crises: the Boston Declaration. Lancet Diabetes and Endocrinology 8.0, no. nan (August): 590-592."
,Journal Article,61,Margaret,Elizabeth,Kruk,Tyler Vaivada; Zohra S Lassi; Omar Irfan; Rehana A Salam; Jai K Das; Christina Oh; Bianca Carducci; Reena P Jain; Daina Als; Naeha Sharma; Emily C Keats; George C Patton; Margaret E Kruk; Robert E Black; Zulfiqar A Bhutta,What can work and how? An overview of evidence-based interventions and delivery strategies to support health and human development from before conception to 20 years,Lancet,No,399.0,10337,1810-1829,May,,,2022,https://pubmed.ncbi.nlm.nih.gov/35489360/,,,,,,,,,,,,Summer - Kiki,,abstract-content selected,05/01/2022,Yes,"Vaivada Tyler, Zohra S Lassi, Omar Irfan, Rehana A Salam, Jai K Das, Christina Oh, Bianca Carducci, Reena P Jain, Daina Als, Naeha Sharma, Emily C Keats, George C Patton, Margaret E Kruk, Robert E Black and Zulfiqar A Bhutta","Vaivada Tyler, Zohra S Lassi, Omar Irfan, Rehana A Salam, Jai K Das, Christina Oh, Bianca Carducci, Reena P Jain, Daina Als, Naeha Sharma, Emily C Keats, George C Patton, Margaret E Kruk, Robert E Black and Zulfiqar A Bhutta. 2022. What can work and how? An overview of evidence-based interventions and delivery strategies to support health and human development from before conception to 20 years. Lancet 399.0, no. 10337 (May): 1810-1829."
,Journal Article,61,Margaret,Elizabeth,Kruk,Margaret E Kruk; Todd P Lewis; Catherine Arsenault; Zulfiqar A Bhutta; Grace Irimu; Joshua Jeong; Zohra S Lassi; Susan M Sawyer; Tyler Vaivada; Peter Waiswa; Aisha K Yousafzai,Improving health and social systems for all children in LMICs: structural innovations to deliver high-quality services,Lancet,No,399.0,10337,1830-1844,May,,,2022,https://pubmed.ncbi.nlm.nih.gov/35489361/,,,,,,,,,,,,Summer - Kiki,,abstract-content selected,05/01/2022,Yes,"Kruk Margaret E, Todd P Lewis, Catherine Arsenault, Zulfiqar A Bhutta, Grace Irimu, Joshua Jeong, Zohra S Lassi, Susan M Sawyer, Tyler Vaivada, Peter Waiswa and Aisha K Yousafzai","Kruk Margaret E, Todd P Lewis, Catherine Arsenault, Zulfiqar A Bhutta, Grace Irimu, Joshua Jeong, Zohra S Lassi, Susan M Sawyer, Tyler Vaivada, Peter Waiswa and Aisha K Yousafzai. 2022. Improving health and social systems for all children in LMICs: structural innovations to deliver high-quality services. Lancet 399.0, no. 10337 (May): 1830-1844."
,Journal Article,61,Margaret,Elizabeth,Kruk,Zulfiqar A Bhutta; Ties Boerma; Maureen M Black; Cesar G Victora; Margaret E Kruk; Robert E Black,Optimising child and adolescent health and development in the post-pandemic world,Lancet,No,399.0,10337,1759-1761,May,,,2022,https://pubmed.ncbi.nlm.nih.gov/35489362/,,,,,,,,,,,,Summer - Kiki,,abstract-content selected,05/01/2022,Yes,"Bhutta Zulfiqar A, Ties Boerma, Maureen M Black, Cesar G Victora, Margaret E Kruk and Robert E Black","Bhutta Zulfiqar A, Ties Boerma, Maureen M Black, Cesar G Victora, Margaret E Kruk and Robert E Black. 2022. Optimising child and adolescent health and development in the post-pandemic world. Lancet 399.0, no. 10337 (May): 1759-1761."
,Journal Article,69,Michael,,Reich,Japan Global Health Working Group,Protecting Human Security: Proposals for the G7 Ise-Shima Summit in Japan,Lancet,,387.0,10033,2155-2162,May,,,2016,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(16)30177-5/fulltext,,,,,,,,,,,,Summer - Maceo,,,05/01/2016,No,Group Japan Global Health Working,"Group Japan Global Health Working. 2016. Protecting Human Security: Proposals for the G7 Ise-Shima Summit in Japan. Lancet 387.0, no. 10033 (May): 2155-2162."
,Journal Article,87,David,,Canning,David Canning,Inappropriate use of global health metrics for analysis of the determinants of health,Lancet,,397.0,,,May,,,2021,https://pubmed.ncbi.nlm.nih.gov/34062141/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,05/01/2021,Yes,Canning David,"Canning David. 2021. Inappropriate use of global health metrics for analysis of the determinants of health. Lancet 397.0, no. nan (May): nan."
,Journal Article,97,Jennifer,,Leaning,Graham Watt; Rita Giacaman; Huda Zurayk; Espen Bjertness; Gerd Holmboe-Ottesen; Hala Ghattas; Iman Nuwayhid; Jennifer Leaning; John S Yudkin; Khamis Elessi; Richard Sullivan; Rima Afifi; Yousef S Khader; Harry S Shannon,COVID-19 vaccines for Palestinians,Lancet,,397.0,10275,,February,,,2021,https://pubmed.ncbi.nlm.nih.gov/33516283/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,02/01/2021,Yes,"Watt Graham, Rita Giacaman, Huda Zurayk, Espen Bjertness, Gerd Holmboe-Ottesen, Hala Ghattas, Iman Nuwayhid, Jennifer Leaning, John S Yudkin, Khamis Elessi, Richard Sullivan, Rima Afifi, Yousef S Khader and Harry S Shannon","Watt Graham, Rita Giacaman, Huda Zurayk, Espen Bjertness, Gerd Holmboe-Ottesen, Hala Ghattas, Iman Nuwayhid, Jennifer Leaning, John S Yudkin, Khamis Elessi, Richard Sullivan, Rima Afifi, Yousef S Khader and Harry S Shannon. 2021. COVID-19 vaccines for Palestinians. Lancet 397.0, no. 10275 (February): nan."
,Journal Article,97,Jennifer,,Leaning,Samer Jabbour; Jennifer Leaning; Iman Nuwayhid; Alastair Ager; Melani Cammett; Omar Dewachi; Fouad M Fouad; Rita Giacaman; Debarati Guha Sapir; Ghassan Hage; Ziad Majed; Rabie Nasser; Annie Sparrow; Paul Spiegel; Ahmad Tarakji; Sarah Leah Whitson; Nasser Yassin,10 years of the Syrian conflict: a time to act and not merely to remember,Lancet,,397.0,10281,1245-1248,April,,,2021,https://pubmed.ncbi.nlm.nih.gov/33721564/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,04/01/2021,Yes,"Jabbour Samer, Jennifer Leaning, Iman Nuwayhid, Alastair Ager, Melani Cammett, Omar Dewachi, Fouad M Fouad, Rita Giacaman, Debarati Guha Sapir, Ghassan Hage, Ziad Majed, Rabie Nasser, Annie Sparrow, Paul Spiegel, Ahmad Tarakji, Sarah Leah Whitson and Nasser Yassin","Jabbour Samer, Jennifer Leaning, Iman Nuwayhid, Alastair Ager, Melani Cammett, Omar Dewachi, Fouad M Fouad, Rita Giacaman, Debarati Guha Sapir, Ghassan Hage, Ziad Majed, Rabie Nasser, Annie Sparrow, Paul Spiegel, Ahmad Tarakji, Sarah Leah Whitson and Nasser Yassin. 2021. 10 years of the Syrian conflict: a time to act and not merely to remember. Lancet 397.0, no. 10281 (April): 1245-1248."
,Journal Article,97,Jennifer,,Leaning,Karl Blanchet; Abbas El-Zein; Ana Langer; Miho Sato,Support for UNRWA's survival,Lancet,,392.0,10152,1009-1010,September,,,2018,https://pubmed.ncbi.nlm.nih.gov/30219332/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,09/01/2018,No,"Blanchet Karl, Abbas El-Zein, Ana Langer and Miho Sato","Blanchet Karl, Abbas El-Zein, Ana Langer and Miho Sato. 2018. Support for UNRWA's survival. Lancet 392.0, no. 10152 (September): 1009-1010."
,Journal Article,97,Jennifer,,Leaning,Samer Jabbour; Fouad M Fouad; Jennifer Leaning; Donna McKay; Rabie Nasser; Leonard S Rubenstein; Annie Sparrow; Paul Spiegel; Ahmad Tarakji; Ronald Waldman; Rola Hallam; Denis Mukwege; Ghanem Tayara,"Death and suffering in Eastern Ghouta, Syria: a call for action to protect civilians and health care",Lancet,,391.0,10123,815-817,March,,,2018,https://pubmed.ncbi.nlm.nih.gov/29496277/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,03/01/2018,Yes,"Jabbour Samer, Fouad M Fouad, Jennifer Leaning, Donna McKay, Rabie Nasser, Leonard S Rubenstein, Annie Sparrow, Paul Spiegel, Ahmad Tarakji, Ronald Waldman, Rola Hallam, Denis Mukwege and Ghanem Tayara","Jabbour Samer, Fouad M Fouad, Jennifer Leaning, Donna McKay, Rabie Nasser, Leonard S Rubenstein, Annie Sparrow, Paul Spiegel, Ahmad Tarakji, Ronald Waldman, Rola Hallam, Denis Mukwege and Ghanem Tayara. 2018. Death and suffering in Eastern Ghouta, Syria: a call for action to protect civilians and health care. Lancet 391.0, no. 10123 (March): 815-817."
,Journal Article,112,Winnie,,Yip,Zhanlian Feng; Elena Glinskaya; Hongtu Chen; Sen Gong; Yue Qiu; Jianming Xu; Winnie Yip,"Long-term care system for older adults in China: policy landscape, challenges, and future prospects",Lancet,,397.0,10259,1372-1372,October,,,2020,https://pubmed.ncbi.nlm.nih.gov/34338215/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,10/01/2020,Yes,"Feng Zhanlian, Elena Glinskaya, Hongtu Chen, Sen Gong, Yue Qiu, Jianming Xu and Winnie Yip","Feng Zhanlian, Elena Glinskaya, Hongtu Chen, Sen Gong, Yue Qiu, Jianming Xu and Winnie Yip. 2020. Long-term care system for older adults in China: policy landscape, challenges, and future prospects. Lancet 397.0, no. 10259 (October): 1372-1372."
,Journal Article,112,Winnie,,Yip,Xi Li; Harlan M Krumholz; Winnie Yip; Kar Keung Cheng; Jan De Maeseneer; Qingyue Meng; Elias Mossialos; Chuang Li; Jiapeng Lu; Meng Su; Qiuli Zhang; Dong Roman Xu; Liming Li; Sharon-Lise T Normand; Richard Peto; Jing Li; Zengwu Wang; Hongbing Yan; Runlin Gao; Somsak Chunharas; Xin Gao; Raniero Guerra; Huijie Ji; Yang Ke; Zhigang Pan; Xianping Wu; Shuiyuan Xiao; Xinying Xie; Yujuan Zhang; Jun Zhu; Shanzhu Zhu; Shengshou Hu,Quality of primary health care in China: challenges and recommendations,Lancet,,395.0,10239,1802-1812,June,,,2020,https://pubmed.ncbi.nlm.nih.gov/32505251/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,06/01/2020,Yes,"Li Xi, Harlan M Krumholz, Winnie Yip, Kar Keung Cheng, Jan De Maeseneer, Qingyue Meng, Elias Mossialos, Chuang Li, Jiapeng Lu, Meng Su, Qiuli Zhang, Dong Roman Xu, Liming Li, Sharon-Lise T Normand, Richard Peto, Jing Li, Zengwu Wang, Hongbing Yan, Runlin Gao, Somsak Chunharas, Xin Gao, Raniero Guerra, Huijie Ji, Yang Ke, Zhigang Pan, Xianping Wu, Shuiyuan Xiao, Xinying Xie, Yujuan Zhang, Jun Zhu, Shanzhu Zhu and Shengshou Hu","Li Xi, Harlan M Krumholz, Winnie Yip, Kar Keung Cheng, Jan De Maeseneer, Qingyue Meng, Elias Mossialos, Chuang Li, Jiapeng Lu, Meng Su, Qiuli Zhang, Dong Roman Xu, Liming Li, Sharon-Lise T Normand, Richard Peto, Jing Li, Zengwu Wang, Hongbing Yan, Runlin Gao, Somsak Chunharas, Xin Gao, Raniero Guerra, Huijie Ji, Yang Ke, Zhigang Pan, Xianping Wu, Shuiyuan Xiao, Xinying Xie, Yujuan Zhang, Jun Zhu, Shanzhu Zhu and Shengshou Hu. 2020. Quality of primary health care in China: challenges and recommendations. Lancet 395.0, no. 10239 (June): 1802-1812."
,Journal Article,112,Winnie,,Yip,Winnie Yip; Hongqiao Fu; Angela T Chen; Tiemin Zhai; Weiyan Jian; Roman Xu; Jay Pan; Min Hu; Zhongliang Zhou; Qiulin Chen; Wenhui Mao; Qiang Sun; Wen Chen,10 years of health-care reform in China: progress and gaps in Universal Health Coverage,Lancet,,394.0,10204,1192-1204,September,,,2019,https://pubmed.ncbi.nlm.nih.gov/31571602/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,09/01/2019,Yes,"Yip Winnie, Hongqiao Fu, Angela T Chen, Tiemin Zhai, Weiyan Jian, Roman Xu, Jay Pan, Min Hu, Zhongliang Zhou, Qiulin Chen, Wenhui Mao, Qiang Sun and Wen Chen","Yip Winnie, Hongqiao Fu, Angela T Chen, Tiemin Zhai, Weiyan Jian, Roman Xu, Jay Pan, Min Hu, Zhongliang Zhou, Qiulin Chen, Wenhui Mao, Qiang Sun and Wen Chen. 2019. 10 years of health-care reform in China: progress and gaps in Universal Health Coverage. Lancet 394.0, no. 10204 (September): 1192-1204."
,Journal Article,117,Wafaie,,Fawzi,Joy E Lawn; Eric O Ohuma; Ellen Bradley; Lorena Suárez Idueta; Elizabeth Hazel; Yemisrach B Okwaraji; Daniel J Erchick; Judith Yargawa; Joanne Katz; Anne C C Lee; Mike Diaz; Mihretab Salasibew; Jennifer Requejo; Chika Hayashi; Ann-Beth Moller; Elaine Borghi; Robert E Black; Hannah Blencowe,"Small babies, big risks: global estimates of prevalence and mortality for vulnerable newborns to accelerate change and improve counting",Lancet,,401.0,10389,,May,,,2023,https://pubmed.ncbi.nlm.nih.gov/37167989/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,05/01/2023,No,"Lawn Joy E, Eric O Ohuma, Ellen Bradley, Lorena Suárez Idueta, Elizabeth Hazel, Yemisrach B Okwaraji, Daniel J Erchick, Judith Yargawa, Joanne Katz, Anne C C Lee, Mike Diaz, Mihretab Salasibew, Jennifer Requejo, Chika Hayashi, Ann-Beth Moller, Elaine Borghi, Robert E Black and Hannah Blencowe","Lawn Joy E, Eric O Ohuma, Ellen Bradley, Lorena Suárez Idueta, Elizabeth Hazel, Yemisrach B Okwaraji, Daniel J Erchick, Judith Yargawa, Joanne Katz, Anne C C Lee, Mike Diaz, Mihretab Salasibew, Jennifer Requejo, Chika Hayashi, Ann-Beth Moller, Elaine Borghi, Robert E Black and Hannah Blencowe. 2023. Small babies, big risks: global estimates of prevalence and mortality for vulnerable newborns to accelerate change and improve counting. Lancet 401.0, no. 10389 (May): nan."
,Journal Article,118,Shekhar,,Sexana,Fiona Charlson; Mark van Ommeren; Abraham Flaxman; Joseph Cornett; Harvey Whiteford; Shekhar Saxena,New WHO prevalence estimates of mental disorders in conflict settings: a systematic review and meta-analysis,Lancet,,394.0,10194,240-248,July,,,2019,https://pubmed.ncbi.nlm.nih.gov/31200992/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,07/01/2019,No,"Charlson Fiona, Mark van Ommeren, Abraham Flaxman, Joseph Cornett, Harvey Whiteford and Shekhar Saxena","Charlson Fiona, Mark van Ommeren, Abraham Flaxman, Joseph Cornett, Harvey Whiteford and Shekhar Saxena. 2019. New WHO prevalence estimates of mental disorders in conflict settings: a systematic review and meta-analysis. Lancet 394.0, no. 10194 (July): 240-248."
,Journal Article,118,Shekhar,,Saxena,Vikram Patel; Shekhar Saxena; Crick Lund; Graham Thornicroft; Florence Baingana; Paul Bolton; Dan Chisholm; Pamela Y Collins; Janice L Cooper; Julian Eaton; Helen Herrman; Mohammad M Herzallah; Yueqin Huang; Mark J D Jordans; Arthur Kleinman; Maria Elena Medina-Mora; Ellen Morgan; Unaiza Niaz; Olayinka Omigbodun; Martin Prince; Atif Rahman; Benedetto Saraceno; Bidyut K Sarkar; Mary De Silva; Ilina Singh; Dan J Stein; Charlene Sunkel; JÜrgen UnÜtzer,The Lancet Commission on global mental health and sustainable development,Lancet,,392.0,10157,1553-1598,October,,,2018,https://pubmed.ncbi.nlm.nih.gov/30314863/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,10/01/2018,Yes,"Patel Vikram, Shekhar Saxena, Crick Lund, Graham Thornicroft, Florence Baingana, Paul Bolton, Dan Chisholm, Pamela Y Collins, Janice L Cooper, Julian Eaton, Helen Herrman, Mohammad M Herzallah, Yueqin Huang, Mark J D Jordans, Arthur Kleinman, Maria Elena Medina-Mora, Ellen Morgan, Unaiza Niaz, Olayinka Omigbodun, Martin Prince, Atif Rahman, Benedetto Saraceno, Bidyut K Sarkar, Mary De Silva, Ilina Singh, Dan J Stein, Charlene Sunkel and JÜrgen UnÜtzer","Patel Vikram, Shekhar Saxena, Crick Lund, Graham Thornicroft, Florence Baingana, Paul Bolton, Dan Chisholm, Pamela Y Collins, Janice L Cooper, Julian Eaton, Helen Herrman, Mohammad M Herzallah, Yueqin Huang, Mark J D Jordans, Arthur Kleinman, Maria Elena Medina-Mora, Ellen Morgan, Unaiza Niaz, Olayinka Omigbodun, Martin Prince, Atif Rahman, Benedetto Saraceno, Bidyut K Sarkar, Mary De Silva, Ilina Singh, Dan J Stein, Charlene Sunkel and JÜrgen UnÜtzer. 2018. The Lancet Commission on global mental health and sustainable development. Lancet 392.0, no. 10157 (October): 1553-1598."
,Journal Article,119,Goodarz,,Danaei,NCD Risk Factor Collaboration,Worldwide trends in hypertension prevalence and progress in treatment and control from 1990 to 2019: a pooled analysis of 1201 population-representative studies with 104 million participants,Lancet,,398.0,10304,957-980,September,,,2021,https://pubmed.ncbi.nlm.nih.gov/34450083/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,09/01/2021,No,Collaboration NCD Risk Factor,"Collaboration NCD Risk Factor. 2021. Worldwide trends in hypertension prevalence and progress in treatment and control from 1990 to 2019: a pooled analysis of 1201 population-representative studies with 104 million participants. Lancet 398.0, no. 10304 (September): 957-980."
,Journal Article,119,Goodarz,,Danaei,NCD Risk Factor Collaboration,Height and body-mass index trajectories of school-aged children and adolescents from 1985 to 2019 in 200 countries and territories: a pooled analysis of 2181 population-based studies with 65 million participants,Lancet,,396.0,10261,1511-1524,November,,,2020,https://pubmed.ncbi.nlm.nih.gov/33160572/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,11/01/2020,No,Collaboration NCD Risk Factor,"Collaboration NCD Risk Factor. 2020. Height and body-mass index trajectories of school-aged children and adolescents from 1985 to 2019 in 200 countries and territories: a pooled analysis of 2181 population-based studies with 65 million participants. Lancet 396.0, no. 10261 (November): 1511-1524."
,Journal Article,85,Melani,,Cammett,Samer Jabbour; Jennifer Leaning; Iman Nuwayhid; Alastair Ager; Melani Cammett; Omar Dewachi; Fouad M Fouad; Rita Giacaman; Debarati Guha Sapir; Ghassan Hage; Ziad Majed; Rabie Nasser; Annie Sparrow; Paul Spiegel; Ahmad Tarakji; Sarah Leah Whitson; Nasser Yassin,Comment: 10 Years of the Syrian Conflict: A Time to Act and Not Merely to Remember,Lancet,No,397.0,10281,1245-1248,April,,,2021,https://pubmed.ncbi.nlm.nih.gov/33721564/,,,,,,,,,,,,Kiki - 10/8/23 batch,,abstract-content selected,04/01/2021,Yes,"Jabbour Samer, Jennifer Leaning, Iman Nuwayhid, Alastair Ager, Melani Cammett, Omar Dewachi, Fouad M Fouad, Rita Giacaman, Debarati Guha Sapir, Ghassan Hage, Ziad Majed, Rabie Nasser, Annie Sparrow, Paul Spiegel, Ahmad Tarakji, Sarah Leah Whitson and Nasser Yassin","Jabbour Samer, Jennifer Leaning, Iman Nuwayhid, Alastair Ager, Melani Cammett, Omar Dewachi, Fouad M Fouad, Rita Giacaman, Debarati Guha Sapir, Ghassan Hage, Ziad Majed, Rabie Nasser, Annie Sparrow, Paul Spiegel, Ahmad Tarakji, Sarah Leah Whitson and Nasser Yassin. 2021. Comment: 10 Years of the Syrian Conflict: A Time to Act and Not Merely to Remember. Lancet 397.0, no. 10281 (April): 1245-1248."
,Journal Article,69,Michael,,Reich,Michael Reich,"The Politics and Policies of Health Systems: Reflections on Protests, Leaders, and Analysis",Keynote Address for Plenary Session at Seventh Global Symposium on Health Systems Researc,,,,,November,,,2022,https://pubmed.ncbi.nlm.nih.gov/37146282/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,11/01/2022,Yes,Reich Michael,"Reich Michael. 2022. The Politics and Policies of Health Systems: Reflections on Protests, Leaders, and Analysis. Keynote Address for Plenary Session at Seventh Global Symposium on Health Systems Researc nan, no. nan (November): nan."
,Journal Article,119,Goodarz,,Danaei,N Oli; P Ms Pradhan; R A Sagtani; A Shrestha; L M Jaacks; B M Karmacharya; G Danaei; A Vaidya,Research Capacity for Prevention and Control of Non-communicable Diseases and their Risk Factors in Nepal: Findings of a Needs Assessment Study,Kathmandu University Medical Journal,,20.0,78,147-154,April-June,,,2022,https://pubmed.ncbi.nlm.nih.gov/37017157/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,,Yes,"Oli N, P Ms Pradhan, R A Sagtani, A Shrestha, L M Jaacks, B M Karmacharya, G Danaei and A Vaidya","Oli N, P Ms Pradhan, R A Sagtani, A Shrestha, L M Jaacks, B M Karmacharya, G Danaei and A Vaidya. 2022. Research Capacity for Prevention and Control of Non-communicable Diseases and their Risk Factors in Nepal: Findings of a Needs Assessment Study. Kathmandu University Medical Journal 20.0, no. 78 (April-June): 147-154."
,Journal Article,77,Luke,,Miratrix,Luke Miratrix; Jane Furey; Avi Feller; Todd Grindal; Lindsay C. Page,"Bounding, an Accessible Method for Estimating Principal Causal Effects, Examined and Explained",Journal on Research in Education Effectiveness,,11.0,1,133-162,,,,2018,https://www.tandfonline.com/doi/abs/10.1080/19345747.2017.1379576,,,,,,,,,,,,Summer - Maceo,,hlFld-Abstract,01/01/2018,Yes,"Miratrix Luke, Jane Furey, Avi Feller, Todd Grindal and Lindsay C. Page","Miratrix Luke, Jane Furey, Avi Feller, Todd Grindal and Lindsay C. Page. 2018. Bounding, an Accessible Method for Estimating Principal Causal Effects, Examined and Explained. Journal on Research in Education Effectiveness 11.0, no. 1 (nan): 133-162."
,Journal Article,16,Sarah,,Dryden-Peterson,"Benjamin Piper; Sarah Dryden-Peterson; Vidur Chopra; Celia Reddick; Arbogast
Oyanga",Are Refugees Learning? Early Grade Literacy Outcomes in a Refugee Camp in Kenya,Journal on Education in Emergencies,No,5.0,2,71-107,March,,,2020,https://www.edu-links.org/sites/default/files/media/file/JEiE_Vol5No2_Are-Refugee-Children-Learning_March2020.pdf,,,,,,,,,,,,Summer - Kiki,,pdf,03/01/2020,Yes,"Piper Benjamin, Sarah Dryden-Peterson, Vidur Chopra, Celia Reddick and Arbogast
Oyanga","Piper Benjamin, Sarah Dryden-Peterson, Vidur Chopra, Celia Reddick and Arbogast
Oyanga. 2020. Are Refugees Learning? Early Grade Literacy Outcomes in a Refugee Camp in Kenya. Journal on Education in Emergencies 5.0, no. 2 (March): 71-107."
